AverageLength,longueur,Proportion0,Proportion1,ecartType,NumSeqStart1,NumSeqStart0,MedianLength,ModeLength,IQRLength,SkewnessLength,minLength,max length,entropy,bit_transition,IsCode
5.75,4,0.5652173913043478,0.43478260869565216,1.0897247358851685,4,0,6.0,6,0.75,-0.6520236646847543,4,7,0.9876925088958034,12,1
7.0,1,0.2857142857142857,0.7142857142857143,0.0,1,0,7.0,7,0.0,nan,7,7,0.863120568566631,4,1
6.5,4,0.46153846153846156,0.5384615384615384,0.5,4,0,6.5,6,1.0,0.0,6,7,0.9957274520849255,10,1
6.571428571428571,7,0.43478260869565216,0.5652173913043478,0.4948716593053935,7,0,7.0,7,1.0,-0.28867513459481126,6,7,0.9876925088958034,23,1
6.25,4,0.44,0.56,0.4330127018922193,4,0,6.0,6,0.25,1.1547005383792517,6,7,0.9895875212220556,13,1
6.0,5,0.3,0.7,0.6324555320336759,5,0,6.0,6,0.0,0.0,5,7,0.8812908992306927,7,1
5.333333333333333,6,0.5,0.5,1.247219128924647,6,0,5.0,4,2.25,0.38180177416060707,4,7,1.0,12,1
6.0,7,0.3333333333333333,0.6666666666666666,0.9258200997725514,7,0,6.0,6,0.5,-1.0801234497346435,4,7,0.9182958340544896,18,1
6.0,2,0.4166666666666667,0.5833333333333334,1.0,2,0,6.0,5,1.0,0.0,5,7,0.9798687566511528,6,1
6.833333333333333,6,0.4634146341463415,0.5365853658536586,0.37267799624996495,6,0,7.0,7,0.0,-1.7888543819998293,6,7,0.9961344835095796,17,1
6.333333333333333,3,0.3684210526315789,0.631578947368421,0.4714045207910317,3,0,6.0,6,0.5,0.7071067811865495,6,7,0.9494520153879484,3,1
6.0,3,0.4444444444444444,0.5555555555555556,1.4142135623730951,3,0,7.0,7,1.5,-0.7071067811865474,4,7,0.9910760598382222,7,1
6.666666666666667,6,0.425,0.575,0.4714045207910317,6,0,7.0,7,0.75,-0.7071067811865495,6,7,0.9837082626231859,13,1
7.0,1,0.42857142857142855,0.5714285714285714,0.0,1,0,7.0,7,0.0,nan,7,7,0.9852281360342515,4,1
6.0,2,0.25,0.75,1.0,2,0,6.0,5,1.0,0.0,5,7,0.8112781244591328,3,1
6.5,2,0.38461538461538464,0.6153846153846154,0.5,2,0,6.5,6,0.5,0.0,6,7,0.9612366047228759,7,1
6.25,4,0.4,0.6,1.299038105676658,4,0,7.0,7,0.75,-1.1547005383792515,4,7,0.9709505944546686,9,1
6.3,10,0.3968253968253968,0.6031746031746031,1.004987562112089,10,0,7.0,7,1.0,-1.2176890763361845,4,7,0.9690632527820694,25,1
6.0,6,0.5,0.5,1.8257418583505538,6,0,7.0,7,0.75,-1.6431676725154982,2,7,1.0,15,1
5.6,10,0.4107142857142857,0.5892857142857143,1.2,10,0,6.0,4,2.5,-0.23611111111111033,4,7,0.9768740126265281,22,1
5.714285714285714,7,0.375,0.625,1.8294640678379568,7,0,7.0,7,2.0,-1.1141664720101776,2,7,0.954434002924965,17,1
6.142857142857143,7,0.32558139534883723,0.6744186046511628,0.9897433186107869,7,0,6.0,6,1.0,-1.1727427342914287,4,7,0.9103480624345153,18,1
6.125,8,0.40816326530612246,0.5918367346938775,1.2686114456365274,8,0,6.5,7,1.0,-1.7047153142609426,3,7,0.9755259511264973,23,1
5.5,4,0.4090909090909091,0.5909090909090909,1.118033988749895,4,0,5.5,4,1.5,0.0,4,7,0.9760206482366149,6,1
6.0,7,0.38095238095238093,0.6190476190476191,1.4142135623730951,7,0,7.0,7,1.5,-1.2121830534626525,3,7,0.9587118829771318,15,1
6.0,4,0.4166666666666667,0.5833333333333334,0.7071067811865476,4,0,6.0,6,0.5,0.0,5,7,0.9798687566511528,12,1
7.0,2,0.42857142857142855,0.5714285714285714,0.0,2,0,7.0,7,0.0,nan,7,7,0.9852281360342515,5,1
5.5,2,0.36363636363636365,0.6363636363636364,0.5,2,0,5.5,5,0.5,0.0,5,6,0.9456603046006401,3,1
6.6,10,0.48484848484848486,0.5151515151515151,0.6633249580710799,10,0,7.0,7,0.75,-1.3979162339514482,5,7,0.9993375041688847,31,1
