AverageLength,longueur,Proportion0,Proportion1,ecartType,NumSeqStart1,NumSeqStart0,MedianLength,ModeLength,IQRLength,SkewnessLength,minLength,max length,entropy,bit_transition,IsCode
6.25,8,0.34,0.66,0.82915619758885,8,0,6.5,7,1.25,-0.49338220021815865,5,7,0.9248187049730301,19,1
5.8,5,0.3793103448275862,0.6206896551724138,1.469693845669907,5,0,6.0,6,1.0,-1.16426364317472,3,7,0.9575534837147482,11,1
5.8,5,0.3448275862068966,0.6551724137931034,1.16619037896906,5,0,6.0,7,2.0,-0.36317347441943015,4,7,0.9293636260137187,13,1
7.0,1,0.0,1.0,0.0,1,0,7.0,7,0.0,nan,7,7,0.0,0,1
4.666666666666667,3,0.5714285714285714,0.42857142857142855,1.247219128924647,3,0,5.0,3,1.5,-0.3818017741606071,3,6,0.9852281360342515,8,1
6.0,1,0.6666666666666666,0.3333333333333333,0.0,1,0,6.0,6,0.0,nan,6,6,0.9182958340544896,3,1
6.0,4,0.5,0.5,0.0,4,0,6.0,6,0.0,nan,6,6,1.0,12,1
5.888888888888889,9,0.32075471698113206,0.6792452830188679,1.1967032904743342,9,0,6.0,7,2.0,-0.5634893020545034,4,7,0.905200296956048,20,1
6.75,4,0.3333333333333333,0.6666666666666666,0.4330127018922193,4,0,7.0,7,0.25,-1.1547005383792517,6,7,0.9182958340544896,10,1
5.875,8,0.46808510638297873,0.5319148936170213,0.9270248108869579,8,0,6.0,6,0.5,-0.691361313507761,4,7,0.9970590569034106,18,1
5.833333333333333,6,0.2857142857142857,0.7142857142857143,1.8633899812498245,6,0,7.0,7,1.5,-1.3022859900958776,2,7,0.863120568566631,12,1
6.0,10,0.48333333333333334,0.5166666666666667,1.0,10,0,6.0,7,1.75,-0.6,4,7,0.9991983542636398,25,1
5.75,8,0.5434782608695652,0.45652173913043476,1.1989578808281798,8,0,6.0,6,0.5,-1.251086484342449,3,7,0.994538681650011,17,1
4.5,4,0.5,0.5,2.179449471770337,3,1,5.0,5,1.5,-0.6520236646847543,1,7,1.0,6,1
6.0,6,0.3333333333333333,0.6666666666666666,1.1547005383792515,6,0,6.5,7,1.75,-0.649519052838329,4,7,0.9182958340544896,10,1
6.5,6,0.4358974358974359,0.5641025641025641,0.7637626158259734,6,0,7.0,7,0.75,-1.1222634354993892,5,7,0.9881108365218301,15,1
6.666666666666667,6,0.45,0.55,0.7453559924999298,6,0,7.0,7,0.0,-1.7888543819998333,5,7,0.9927744539878083,18,1
6.333333333333333,3,0.3684210526315789,0.631578947368421,0.9428090415820634,3,0,7.0,7,1.0,-0.7071067811865466,5,7,0.9494520153879484,5,1
6.0,7,0.3333333333333333,0.6666666666666666,1.0690449676496976,7,0,6.0,7,1.5,-0.7015607600201138,4,7,0.9182958340544896,15,1
6.5,2,0.38461538461538464,0.6153846153846154,0.5,2,0,6.5,6,0.5,0.0,6,7,0.9612366047228759,7,1
6.777777777777778,9,0.5081967213114754,0.4918032786885246,0.415739709641549,9,0,7.0,7,0.0,-1.3363062095621212,6,7,0.999806132804711,27,1
7.0,4,0.42857142857142855,0.5714285714285714,0.0,4,0,7.0,7,0.0,nan,7,7,0.9852281360342515,14,1
6.8,5,0.5294117647058824,0.47058823529411764,0.39999999999999997,5,0,7.0,7,0.0,-1.4999999999999993,6,7,0.9975025463691152,15,1
5.714285714285714,7,0.4,0.6,1.2777531299998799,7,0,6.0,6,1.0,-1.0984683939467719,3,7,0.9709505944546686,17,1
6.2,5,0.3548387096774194,0.6451612903225806,1.16619037896906,5,0,7.0,7,1.0,-1.1500493356615307,4,7,0.9383153522334069,14,1
6.0,3,0.5,0.5,0.0,3,0,6.0,6,0.0,nan,6,6,1.0,7,1
6.5,4,0.3076923076923077,0.6923076923076923,0.5,4,0,6.5,6,1.0,0.0,6,7,0.8904916402194913,8,1
5.625,8,0.4,0.6,1.1110243021644486,8,0,6.0,6,1.5,-0.3161639417792118,4,7,0.9709505944546686,16,1
6.75,8,0.3148148148148148,0.6851851851851852,0.4330127018922193,8,0,7.0,7,0.25,-1.1547005383792517,6,7,0.898653375690748,21,1
6.25,4,0.32,0.68,0.82915619758885,4,0,6.5,7,1.25,-0.49338220021815865,5,7,0.9043814577244937,12,1
4.666666666666667,6,0.5357142857142857,0.4642857142857143,1.7950549357115015,6,0,5.5,6,1.75,-1.2230279169592038,1,6,0.996316519558962,12,1
6.666666666666667,3,0.4,0.6,0.4714045207910317,3,0,7.0,7,0.5,-0.7071067811865495,6,7,0.9709505944546686,8,1
6.5,6,0.358974358974359,0.6410256410256411,0.5,6,0,6.5,6,1.0,0.0,6,7,0.9418285354475157,18,1
6.0,6,0.3611111111111111,0.6388888888888888,1.1547005383792515,6,0,6.5,7,1.75,-0.649519052838329,4,7,0.943601631299382,11,1
6.142857142857143,7,0.3953488372093023,0.6046511627906976,1.355261854357877,7,0,7.0,7,1.5,-0.9486832980505145,4,7,0.9681647320759545,16,1
6.75,4,0.2962962962962963,0.7037037037037037,0.4330127018922193,4,0,7.0,7,0.25,-1.1547005383792517,6,7,0.876716288999464,11,1
6.857142857142857,7,0.5208333333333334,0.4791666666666667,0.3499271061118826,7,0,7.0,7,0.0,-2.041241452319312,6,7,0.9987472979361685,15,1
7.0,4,0.25,0.75,0.0,4,0,7.0,7,0.0,nan,7,7,0.8112781244591328,11,1
6.6,5,0.45454545454545453,0.5454545454545454,0.7999999999999999,5,0,7.0,7,0.0,-1.4999999999999993,5,7,0.9940302114769565,13,1
6.285714285714286,7,0.38636363636363635,0.6136363636363636,0.45175395145262565,7,0,6.0,6,0.5,0.9486832980505143,6,7,0.9624127354629923,18,1
4.0,2,0.5,0.5,3.0,2,0,4.0,1,3.0,0.0,1,7,1.0,2,1
